Zip Code,Median earnings (dollars),"Median earnings (dollars) Agriculture, forestry, fishing and hunting","Median earnings (dollars) Mining, quarrying, and oil and gas extraction",Median earnings (dollars) Construction,Median earnings (dollars) Manufacturing,Median earnings (dollars) Wholesale trade,Median earnings (dollars) Retail trade,Median earnings (dollars) Transportation and warehousing,Median earnings (dollars) Utilities,Median earnings (dollars) Information,Median earnings (dollars) Finance and insurance,Median earnings (dollars) Real estate and rental and leasing,"Median earnings (dollars) Professional, scientific, and technical services",Median earnings (dollars) Management of companies and enterprises,Median earnings (dollars) Administrative and support and waste management services,Median earnings (dollars) Educational services,Median earnings (dollars) Health care and social assistance,"Median earnings (dollars) Arts, entertainment, and recreation",Median earnings (dollars) Accommodation and food services,"Median earnings (dollars) Other services, except public administration",Median earnings (dollars) Public administration,Median earnings (dollars) for male,"Median earnings (dollars) for male Agriculture, forestry, fishing and hunting","Median earnings (dollars) for male Mining, quarrying, and oil and gas extraction",Median earnings (dollars) for male Construction,Median earnings (dollars) for male Manufacturing,Median earnings (dollars) for male Wholesale trade,Median earnings (dollars) for male Retail trade,Median earnings (dollars) for male Transportation and warehousing,Median earnings (dollars) for male Utilities,Median earnings (dollars) for male Information,Median earnings (dollars) for male Finance and insurance,Median earnings (dollars) for male Real estate and rental and leasing,"Median earnings (dollars) for male Professional, scientific, and technical services",Median earnings (dollars) for male Management of companies and enterprises,Median earnings (dollars) for male Administrative and support and waste management services,Median earnings (dollars) for male Educational services,Median earnings (dollars) for male Health care and social assistance,"Median earnings (dollars) for male Arts, entertainment, and recreation",Median earnings (dollars) for male Accommodation and food services,"Median earnings (dollars) for male Other services, except public administration",Median earnings (dollars) for male Public administration,Median earnings (dollars) for female,"Median earnings (dollars) for female Agriculture, forestry, fishing and hunting","Median earnings (dollars) for female Mining, quarrying, and oil and gas extraction",Median earnings (dollars) for female Construction,Median earnings (dollars) for female Manufacturing,Median earnings (dollars) for female Wholesale trade,Median earnings (dollars) for female Retail trade,Median earnings (dollars) for female Transportation and warehousing,Median earnings (dollars) for female Utilities,Median earnings (dollars) for female Information,Median earnings (dollars) for female Finance and insurance,Median earnings (dollars) for female Real estate and rental and leasing,"Median earnings (dollars) for female Professional, scientific, and technical services",Median earnings (dollars) for female Management of companies and enterprises,Median earnings (dollars) for female Administrative and support and waste management services,Median earnings (dollars) for female Educational services,Median earnings (dollars) for female Health care and social assistance,"Median earnings (dollars) for female Arts, entertainment, and recreation",Median earnings (dollars) for female Accommodation and food services,"Median earnings (dollars) for female Other services, except public administration",Median earnings (dollars) for female Public administration,Women's earnings as a percentage of men's earning,"Women's earnings as a percentage of men's earning Agriculture, forestry, fishing and hunting","Women's earnings as a percentage of men's earning Mining, quarrying, and oil and gas extraction",Women's earnings as a percentage of men's earning Construction,Women's earnings as a percentage of men's earning Manufacturing,Women's earnings as a percentage of men's earning Wholesale trade,Women's earnings as a percentage of men's earning Retail trade,Women's earnings as a percentage of men's earning Transportation and warehousing,Women's earnings as a percentage of men's earning Utilities,Women's earnings as a percentage of men's earning Information,Women's earnings as a percentage of men's earning Finance and insurance,Women's earnings as a percentage of men's earning Real estate and rental and leasing,"Women's earnings as a percentage of men's earning Professional, scientific, and technical services",Women's earnings as a percentage of men's earning Management of companies and enterprises,Women's earnings as a percentage of men's earning Administrative and support and waste management services,Women's earnings as a percentage of men's earning Educational services,Women's earnings as a percentage of men's earning Health care and social assistance,"Women's earnings as a percentage of men's earning Arts, entertainment, and recreation",Women's earnings as a percentage of men's earning Accommodation and food services,"Women's earnings as a percentage of men's earning Other services, except public administration",Women's earnings as a percentage of men's earning Public administration
90001,23328,20119,-,27079,23538,25592,20754,27509,60333,23902,35556,25921,26281,-,21728,26685,26578,20516,19786,21946,21165,25939,21310,-,27430,25319,28407,25105,28837,60333,24950,49063,25817,25772,-,23333,32204,31123,20759,21569,25298,22750,20576,-,-,-,21095,21406,19206,19835,-,4850,27212,27000,30833,-,17500,22434,25450,17177,17005,20023,16000,79.3,-,-,-,83.3,75.4,76.5,68.8,-,19.4,55.5,104.6,119.6,-,75,69.7,81.8,82.7,78.8,79.1,70.3
90002,23571,20833,-,26782,22700,25700,21762,27849,65750,43313,53173,31627,27763,-,21934,24429,22378,21685,20525,20509,35625,25751,18125,-,24986,25996,27617,25684,28806,-,44688,52656,35917,26680,-,21336,30313,28868,22569,21480,22120,31645,21103,30363,-,40833,18586,20052,17559,25913,-,-,53403,22008,30294,-,23257,22893,21416,21019,17485,16841,36103,82,167.5,-,163.4,71.5,72.6,68.4,90,-,-,101.4,61.3,113.5,-,109,75.5,74.2,93.1,81.4,76.1,114.1
90003,22941,17851,-,25009,22220,24091,21057,29143,61618,31600,38529,24625,25523,-,21530,23787,24664,28750,20751,20700,35030,25501,13000,-,25310,23112,23983,23539,30795,61397,35556,30568,27208,24773,-,22288,29922,34912,30976,22659,23619,36799,20637,18947,-,16607,21355,24427,17483,23782,-,24239,43472,19271,26761,-,17614,20319,22817,16855,18784,16672,25556,80.9,145.7,-,65.6,92.4,101.9,74.3,77.2,-,68.2,142.2,70.8,108,-,79,67.9,65.4,54.4,82.9,70.6,69.4
90004,28641,48015,-,24958,27041,40288,25708,27987,80417,51662,52538,43892,57310,-,23399,32329,32682,32071,23570,23494,70455,30605,49154,-,25188,28646,46705,25020,27412,81167,51365,63801,52708,67167,-,23596,46322,38269,32414,24294,30506,82723,26844,-,-,22300,24970,37625,26182,31731,19511,52449,44013,40313,51287,-,22990,30262,31643,29688,22536,19801,63563,87.7,-,-,88.5,87.2,80.6,104.6,115.8,24,102.1,69,76.5,76.4,-,97.4,65.3,82.7,91.6,92.8,64.9,76.8
90005,26096,18125,-,21612,27787,30611,22442,35123,44886,55089,40500,32708,51705,-,22802,33558,29076,35559,23721,21067,48026,27079,18125,-,21715,33528,33359,25819,37865,44886,60100,50000,33357,51324,-,23595,40278,39167,19345,23933,27630,68393,24920,-,-,-,22077,26083,20009,25682,-,41250,40500,30568,52109,-,21161,30733,25743,38860,22104,17935,40491,92,-,-,-,65.8,78.2,77.5,67.8,-,68.6,81,91.6,101.5,-,89.7,76.3,65.7,200.9,92.4,64.9,59.2
90006,23198,-,-,21594,20912,30500,21981,30147,95781,46193,32247,28136,42306,-,21537,30658,25621,22917,20723,18349,41892,24609,-,-,21004,21969,29974,23528,30538,95781,38800,63940,27800,53443,-,22233,33667,26272,25216,21718,20779,62765,21620,-,-,37167,17345,31208,20518,21008,-,57589,30237,28417,38792,-,20401,27500,25464,20417,18203,16987,27344,87.9,-,-,177,79,104.1,87.2,68.8,-,148.4,47.3,102.2,72.6,-,91.8,81.7,96.9,81,83.8,81.8,43.6
90007,18819,23833,-,21826,23185,26625,15634,26204,61667,12184,38125,34125,31513,-,16929,7975,23224,9451,18077,17063,38482,20575,26635,-,21826,24359,25375,16090,27068,-,19821,38125,36705,42939,-,18220,8549,29706,7679,19551,19688,36125,16462,11758,-,22500,22647,30500,15408,24400,-,10270,38125,14750,30202,-,15625,7395,19815,11012,13877,15495,50298,80,44.1,-,103.1,93,120.2,95.8,90.1,-,51.8,100,40.2,70.3,-,85.8,86.5,66.7,143.4,71,78.7,139.2
90008,34797,-,-,30500,36382,28750,19315,31534,52101,71354,36402,47731,66750,-,26394,40146,38806,29899,21250,30469,64634,35744,-,-,30964,41399,38750,26250,32159,53229,91250,41645,60446,56574,-,21759,41250,54402,27703,23295,31200,61744,32528,-,-,12193,31733,23854,14900,27357,-,41181,20909,46100,67375,-,27284,40029,36435,30991,20116,14375,75588,91,-,-,39.4,76.7,61.6,56.8,85.1,-,45.1,50.2,76.3,119.1,-,125.4,97,67,111.9,86.4,46.1,122.4
90010,44595,-,-,29135,79306,47813,24583,50395,-,75238,103628,30650,86250,-,9762,43000,53750,36875,25625,15385,14485,62799,-,-,29135,161389,49063,26023,60263,-,35139,120294,-,105729,-,-,34444,54500,18125,30682,-,-,31823,-,-,-,77917,-,24115,-,-,-,35536,31067,62125,-,26250,43500,32386,70481,21477,9432,38889,50.7,-,-,-,48.3,-,92.7,-,-,-,29.5,-,58.8,-,-,126.3,59.4,388.9,70,-,-
90011,21595,20716,-,23313,20458,22764,20925,26095,90417,31250,36528,24327,30503,28676,19395,22410,21318,18517,21446,19450,20670,22923,21050,-,23472,21735,24253,22985,27385,90417,27417,38792,21250,29601,-,20716,22828,26250,19154,21665,22400,48125,19397,20586,-,16367,17316,20901,16535,22928,-,31458,35093,25948,30960,-,16514,21994,20490,17069,21120,14731,16359,84.6,97.8,-,69.7,79.7,86.2,71.9,83.7,-,114.7,90.5,122.1,104.6,-,79.7,96.3,78.1,89.1,97.5,65.8,34
90012,43705,-,-,33281,36672,63108,31707,41719,100703,53750,63576,49609,73828,-,23176,41419,36700,36250,18347,31611,68125,51330,-,-,50774,43281,67991,37639,40912,55714,65694,75188,60833,87057,-,16957,41818,54762,40156,19274,46750,75313,34549,-,-,16934,20902,53429,23269,90714,102266,46250,58625,41225,63333,-,30833,40833,29600,34125,16679,24468,32358,67.3,-,-,33.4,48.3,78.6,61.8,221.7,183.6,70.4,78,67.8,72.7,-,181.8,97.6,54.1,85,86.5,52.3,43
90013,51603,-,-,53443,73472,63712,32132,21352,100662,60833,118393,28382,76184,-,15398,77311,32279,44453,30096,44352,47118,53589,-,-,53208,74097,72546,24789,21352,-,68646,118036,26875,90882,-,15568,76780,45694,100375,31875,50660,47396,44309,-,-,-,52750,-,37568,-,-,54457,120227,29632,57250,-,7143,78667,31912,21629,26399,-,-,82.7,-,-,-,71.2,-,151.6,-,-,79.3,101.9,110.3,63,-,45.9,102.5,69.8,21.5,82.8,-,-
90014,59026,-,-,63056,75385,61910,51250,36875,-,57917,"250,000+",78464,72411,-,23516,60333,40625,39167,36424,29615,167609,51746,-,-,23125,75673,51083,51833,103250,-,39861,"250,000+",74343,70714,-,9167,46992,36367,37171,37326,13380,-,61929,-,-,-,72125,62205,50625,-,-,114545,-,79531,76583,-,24531,61417,47750,49250,16538,52750,-,119.7,-,-,-,95.3,121.8,97.7,-,-,287.4,-,107,108.3,-,267.6,130.7,131.3,132.5,44.3,394.2,-
90015,30212,26364,-,23586,18041,30167,23085,29286,62011,70650,86589,63700,92000,-,22500,31208,38262,30693,21792,18902,90625,31391,-,-,22179,19230,29803,26071,29241,-,99038,86646,53750,104701,-,33500,52083,50536,31500,22750,24673,90417,27633,-,-,71181,16152,35714,16510,29375,-,27596,86250,64250,71688,-,20955,27344,38145,30437,19975,15385,100294,88,-,-,320.9,84,119.8,63.3,100.5,-,27.9,99.5,119.5,68.5,-,62.6,52.5,75.5,96.6,87.8,62.4,110.9
90016,31338,20750,-,35024,32031,31743,25864,27924,85500,60025,44375,33125,52857,-,25307,41944,32283,25762,25540,25563,37663,35036,20500,-,33958,42593,31586,25957,30542,86125,68966,75893,44286,63429,-,28834,42974,40931,26563,27714,35518,77500,28237,21375,-,-,29632,45563,25760,27029,-,40221,36713,19205,50417,-,16063,41202,30657,20529,17524,23168,31932,80.6,104.3,-,-,69.6,144.3,99.2,88.5,-,58.3,48.4,43.4,79.5,-,55.7,95.9,74.9,77.3,63.2,65.2,41.2
90017,26041,22900,-,18043,18451,37198,21455,34773,86761,50801,80272,18750,69261,-,22040,33479,26338,30268,23549,22560,71458,26546,23050,-,16856,21012,29375,21458,36741,86761,43674,152375,27833,72381,-,22946,43056,29274,30494,25854,22932,103583,24763,-,-,60046,15906,43589,21452,31343,-,63704,32188,6910,60156,-,19583,30495,24948,30188,17614,21042,31000,93.3,-,-,356.2,75.7,148.4,100,85.3,-,145.9,21.1,24.8,83.1,-,85.3,70.8,85.2,99,68.1,91.8,29.9
90018,28028,20938,-,26554,25307,39167,25270,31919,62708,59653,43264,38327,52614,-,24400,36438,31224,23487,18564,18391,36359,30546,22961,-,26989,27976,42243,28011,34318,69286,63226,40609,46164,61488,-,24272,39830,32301,24803,21047,22561,33633,25754,20305,-,21528,21969,26250,22156,25056,19698,54675,52143,36774,44538,-,24597,31899,30549,19138,16360,16610,42500,84.3,88.4,-,79.8,78.5,62.1,79.1,73,28.4,86.5,128.4,79.7,72.4,-,101.3,80.1,94.6,77.2,77.7,73.6,126.4
90019,34239,17528,-,28750,36825,40717,26055,32148,86154,68462,86012,51500,77669,-,25147,53210,34620,36524,22777,20978,48568,35220,-,-,27262,44506,40872,27129,35682,86058,62088,108704,61250,93200,-,26277,51313,39209,35610,24925,21114,58798,32490,17889,-,39830,30625,40508,24158,21078,-,71364,69250,48750,67743,-,22375,57622,31911,40056,19294,20773,39605,92.2,-,-,146.1,68.8,99.1,89,59.1,-,114.9,63.7,79.6,72.7,-,85.2,112.3,81.4,112.5,77.4,98.4,67.4
90020,31050,-,-,29107,26157,31575,26426,31852,51208,47593,52165,29450,51427,-,26575,37315,38091,31389,25358,22995,42042,31916,-,-,29531,25885,31162,26593,31318,51208,50056,53472,31204,59949,-,25799,47188,39721,31296,26115,32055,44545,29565,-,-,28750,26493,36094,26250,47933,-,40000,46528,16667,42431,-,28750,31538,33670,31574,23185,20686,29125,92.6,-,-,97.4,102.3,115.8,98.7,153.1,-,79.9,87,53.4,70.8,-,111.4,66.8,84.8,100.9,88.8,64.5,65.4
90021,28705,-,-,55143,25227,25347,31164,23750,-,77639,46719,-,67256,-,20781,32011,14605,13565,16122,18696,-,28348,-,-,55143,26518,-,31484,27708,-,156250,-,-,67134,-,21125,-,18077,13495,16207,18696,-,30196,-,-,-,15167,-,30769,-,-,74178,-,-,-,-,-,31467,13929,-,15875,-,-,106.5,-,-,-,57.2,-,97.7,-,-,47.5,-,-,-,-,-,-,77.1,-,98,-,-
